p,num_seeds,training_forwards_min,training_forwards_max,dev_loss_mean,dev_loss_min,dev_loss_max,dev_accuracy_mean,dev_accuracy_min,dev_accuracy_max,test_accuracy_mean,test_accuracy_min,test_accuracy_max
5,3,8400,8400,0.6701926589012146,0.5921259522438049,0.7431054711341858,0.76,0.72,0.82,0.6845238095238095,0.6785714285714286,0.6964285714285714
10,3,8382,8382,0.6828977266947428,0.5923612117767334,0.7762166857719421,0.74,0.68,0.8,0.6785714285714286,0.6785714285714286,0.6785714285714286
15,3,8384,8384,0.6731609503428141,0.6072628498077393,0.7513330578804016,0.7466666666666667,0.72,0.78,0.6666666666666666,0.6607142857142857,0.6785714285714286
20,3,8400,8400,0.6735046666666666,0.620065,0.722646,0.7733333333333333,0.74,0.82,0.6726186666666667,0.660714,0.678571
25,3,8372,8372,0.6759893099466959,0.6097110509872437,0.7383444905281067,0.7733333333333333,0.74,0.82,0.6726190476190477,0.6607142857142857,0.6785714285714286
30,3,8370,8370,0.6820212999979655,0.609245777130127,0.7404971122741699,0.78,0.76,0.82,0.6785714285714286,0.6785714285714286,0.6785714285714286
