model,mpsub_default_radius_acc,mezo_best_lr,mezo_best_acc,difference,difference_in_examples,mezo_grid_points,mpsub_total_passes,mezo_total_passes,search_cost_ratio
opt-125m,0.6726,1e-6,0.6845,-0.0119,-0.7,5,8400,42000,5x
opt-350m,0.6905,1e-6,0.6845,+0.0060,+0.3,3,8400,25200,3x
