model,method,hyperparameter,seed,eval_index,step,forward_passes,dev_loss
opt-125m,MeZO,1e-6,1,6,1800,3600,0.767009
opt-125m,MeZO,1e-6,1,7,2100,4200,0.776445
opt-125m,MeZO,1e-6,1,8,2400,4800,0.769110
opt-125m,MeZO,1e-6,1,9,2700,5400,0.765471
opt-125m,MeZO,1e-6,1,10,3000,6000,0.773116
opt-125m,MeZO,1e-6,1,11,3300,6600,0.788180
opt-125m,MeZO,1e-6,1,12,3600,7200,0.786362
opt-125m,MeZO,1e-6,1,13,3900,7800,0.789789
opt-125m,MeZO,1e-6,1,14,4200,8400,0.783995
opt-125m,MeZO,1e-6,2,1,300,600,0.816504
opt-125m,MeZO,1e-6,2,2,600,1200,0.784571
opt-125m,MeZO,1e-6,2,3,900,1800,0.724554
opt-125m,MeZO,1e-6,2,4,1200,2400,0.690946
opt-125m,MeZO,1e-6,2,5,1500,3000,0.676614
opt-125m,MeZO,1e-6,2,6,1800,3600,0.673641
opt-125m,MeZO,1e-6,2,7,2100,4200,0.649398
opt-125m,MeZO,1e-6,2,8,2400,4800,0.641263
opt-125m,MeZO,1e-6,2,9,2700,5400,0.635101
opt-125m,MeZO,1e-6,2,10,3000,6000,0.632063
opt-125m,MeZO,1e-6,2,11,3300,6600,0.615056
opt-125m,MeZO,1e-6,2,12,3600,7200,0.626162
opt-125m,MeZO,1e-6,2,13,3900,7800,0.617673
opt-125m,MeZO,1e-6,2,14,4200,8400,0.625171
opt-125m,MeZO,1e-7,0,1,300,600,0.994224
opt-125m,MeZO,1e-7,0,2,600,1200,0.969372
opt-125m,MeZO,1e-7,0,3,900,1800,0.951736
opt-125m,MeZO,1e-7,0,4,1200,2400,0.934686
opt-125m,MeZO,1e-7,0,5,1500,3000,0.923172
opt-125m,MeZO,1e-7,0,6,1800,3600,0.910470
opt-125m,MeZO,1e-7,0,7,2100,4200,0.899743
opt-125m,MeZO,1e-7,0,8,2400,4800,0.887042
opt-125m,MeZO,1e-7,0,9,2700,5400,0.877047
opt-125m,MeZO,1e-7,0,10,3000,6000,0.868160
opt-125m,MeZO,1e-7,0,11,3300,6600,0.859410
opt-125m,MeZO,1e-7,0,12,3600,7200,0.850569
opt-125m,MeZO,1e-7,0,13,3900,7800,0.840819
opt-125m,MeZO,1e-7,0,14,4200,8400,0.829490
opt-125m,MeZO,1e-7,1,1,300,600,1.023873
opt-125m,MeZO,1e-7,1,2,600,1200,1.000600
opt-125m,MeZO,1e-7,1,3,900,1800,0.986430
opt-125m,MeZO,1e-7,1,4,1200,2400,0.971820
opt-125m,MeZO,1e-7,1,5,1500,3000,0.954580
