model,method,hyperparameter,seed,eval_index,step,forward_passes,dev_loss
opt-350m,MeZO,1e-7,2,9,2700,5400,0.811595
opt-350m,MeZO,1e-7,2,10,3000,6000,0.804604
opt-350m,MeZO,1e-7,2,11,3300,6600,0.804095
opt-350m,MeZO,1e-7,2,12,3600,7200,0.792856
opt-350m,MeZO,1e-7,2,13,3900,7800,0.788478
opt-350m,MeZO,1e-7,2,14,4200,8400,0.786389
opt-350m,MpSub,1e-1,0,1,25,1050,0.833914
opt-350m,MpSub,1e-1,0,2,50,2100,0.805052
opt-350m,MpSub,1e-1,0,3,75,3150,0.780842
opt-350m,MpSub,1e-1,0,4,100,4200,0.769224
opt-350m,MpSub,1e-1,0,5,125,5250,0.761837
opt-350m,MpSub,1e-1,0,6,150,6300,0.734972
opt-350m,MpSub,1e-1,0,7,175,7350,0.725865
opt-350m,MpSub,1e-1,0,8,200,8400,0.715281
opt-350m,MpSub,1e-1,1,1,25,1050,0.913065
opt-350m,MpSub,1e-1,1,2,50,2100,0.879968
opt-350m,MpSub,1e-1,1,3,75,3150,0.828172
opt-350m,MpSub,1e-1,1,4,100,4200,0.817774
opt-350m,MpSub,1e-1,1,5,125,5250,0.800661
opt-350m,MpSub,1e-1,1,6,150,6300,0.801858
opt-350m,MpSub,1e-1,1,7,175,7350,0.777756
opt-350m,MpSub,1e-1,1,8,200,8400,0.773672
opt-350m,MpSub,1e-1,2,1,25,1050,0.839699
opt-350m,MpSub,1e-1,2,2,50,2100,0.813745
opt-350m,MpSub,1e-1,2,3,75,3150,0.785356
opt-350m,MpSub,1e-1,2,4,100,4200,0.775981
opt-350m,MpSub,1e-1,2,5,125,5250,0.760775
opt-350m,MpSub,1e-1,2,6,150,6300,0.747162
opt-350m,MpSub,1e-1,2,7,175,7350,0.737383
opt-350m,MpSub,1e-1,2,8,200,8400,0.725406
